id,date,title,category,source,sourceURL,description,status,type,mediaName,url
sch-1,2026-08-20 (木),フジテレビ ONE「プロ野球ニュース」※瀧脇笙古、山本杏奈,TV,＝LOVE Official,,,,TV,＝LOVE Official,
sch-2,2026-08-18 (火),サンスポ特別版「BAY☆スタ」第42号 発売 ※瀧脇笙古,Magazine,サンケイスポーツ,https://prtimes.jp/main/html/rd/p/000002101.000022608.html,,,Magazine,サンケイスポーツ,https://prtimes.jp/main/html/rd/p/000002101.000022608.html
sch-4,2026-09-05 (土),＝LOVE 21stシングル発売記念 オンライン個別お話し会,Event,＝LOVE Official,https://equal-love.jp/schedule/detail/11591,,,Event,＝LOVE Official,https://equal-love.jp/schedule/detail/11591
